10
20
0,1,20,21,
1,2,21,22,
2,3,22,23,
3,4,23,24,
4,5,24,25,
5,6,25,26,
6,7,26,27,
7,8,27,28,
8,9,28,29,
9,10,29,30,
10,11,30,31,
11,12,31,32,
12,13,32,33,
13,14,33,34,
14,15,34,35,
15,16,35,36,
16,17,36,37,
17,18,37,38,
18,19,38,39,
20,21,40,41,
21,22,41,42,
22,23,42,43,
23,24,43,44,
24,25,44,45,
25,26,45,46,
26,27,46,47,
27,28,47,48,
28,29,48,49,
29,30,49,50,
30,31,50,51,
31,32,51,52,
32,33,52,53,
33,34,53,54,
34,35,54,55,
35,36,55,56,
36,37,56,57,
37,38,57,58,
38,39,58,59,
40,41,60,61,
41,42,61,62,
42,43,62,63,
43,44,63,64,
44,45,64,65,
45,46,65,66,
46,47,66,67,
47,48,67,68,
48,49,68,69,
49,50,69,70,
50,51,70,71,
51,52,71,72,
52,53,72,73,
53,54,73,74,
54,55,74,75,
55,56,75,76,
56,57,76,77,
57,58,77,78,
58,59,78,79,
60,61,80,81,
61,62,81,82,
62,63,82,83,
63,64,83,84,
64,65,84,85,
65,66,85,86,
66,67,86,87,
67,68,87,88,
68,69,88,89,
69,70,89,90,
70,71,90,91,
71,72,91,92,
72,73,92,93,
73,74,93,94,
74,75,94,95,
75,76,95,96,
76,77,96,97,
77,78,97,98,
78,79,98,99,
80,81,100,101,
81,82,101,102,
82,83,102,103,
83,84,103,104,
84,85,104,105,
85,86,105,106,
86,87,106,107,
87,88,107,108,
88,89,108,109,
89,90,109,110,
90,91,110,111,
91,92,111,112,
92,93,112,113,
93,94,113,114,
94,95,114,115,
95,96,115,116,
96,97,116,117,
97,98,117,118,
98,99,118,119,
100,101,120,121,
101,102,121,122,
102,103,122,123,
103,104,123,124,
104,105,124,125,
105,106,125,126,
106,107,126,127,
107,108,127,128,
108,109,128,129,
109,110,129,130,
110,111,130,131,
111,112,131,132,
112,113,132,133,
113,114,133,134,
114,115,134,135,
115,116,135,136,
116,117,136,137,
117,118,137,138,
118,119,138,139,
120,121,140,141,
121,122,141,142,
122,123,142,143,
123,124,143,144,
124,125,144,145,
125,126,145,146,
126,127,146,147,
127,128,147,148,
128,129,148,149,
129,130,149,150,
130,131,150,151,
131,132,151,152,
132,133,152,153,
133,134,153,154,
134,135,154,155,
135,136,155,156,
136,137,156,157,
137,138,157,158,
138,139,158,159,
140,141,160,161,
141,142,161,162,
142,143,162,163,
143,144,163,164,
144,145,164,165,
145,146,165,166,
146,147,166,167,
147,148,167,168,
148,149,168,169,
149,150,169,170,
150,151,170,171,
151,152,171,172,
152,153,172,173,
153,154,173,174,
154,155,174,175,
155,156,175,176,
156,157,176,177,
157,158,177,178,
158,159,178,179,
160,161,180,181,
161,162,181,182,
162,163,182,183,
163,164,183,184,
164,165,184,185,
165,166,185,186,
166,167,186,187,
167,168,187,188,
168,169,188,189,
169,170,189,190,
170,171,190,191,
171,172,191,192,
172,173,192,193,
173,174,193,194,
174,175,194,195,
175,176,195,196,
176,177,196,197,
177,178,197,198,
178,179,198,199,
